time,open,high,low,close,volume,day
2026-07-30 14:15:00,14388.0,14402.0,14381.0,14388.0,1560.0,2026-07-30
2026-07-30 14:30:00,14388.0,14405.0,14386.0,14398.0,1284.0,2026-07-30
2026-07-30 14:45:00,14398.0,14412.0,14397.0,14404.0,2620.0,2026-07-30
2026-07-30 15:00:00,14401.0,14402.0,14390.0,14396.0,2115.0,2026-07-30
2026-07-30 15:15:00,14396.0,14411.0,14390.0,14392.0,2749.0,2026-07-30
2026-07-30 15:30:00,14392.0,14410.0,14392.0,14398.0,2131.0,2026-07-30
2026-07-30 15:45:00,14396.0,14438.0,14396.0,14429.0,8774.0,2026-07-30
2026-07-30 16:00:00,14430.0,14447.0,14430.0,14435.0,3762.0,2026-07-30
2026-07-30 16:15:00,14434.0,14437.0,14420.0,14423.0,2804.0,2026-07-30
2026-07-30 16:30:00,14423.0,14439.0,14420.0,14430.0,1921.0,2026-07-30
2026-07-30 16:45:00,14429.0,14431.0,14406.0,14412.0,3252.0,2026-07-30
2026-07-30 17:00:00,14412.0,14424.0,14410.0,14416.0,1928.0,2026-07-30
2026-07-30 17:15:00,14416.0,14428.0,14413.0,14417.0,1860.0,2026-07-30
2026-07-30 17:30:00,14417.0,14434.0,14410.0,14425.0,3462.0,2026-07-30
2026-07-30 17:45:00,14425.0,14427.0,14409.0,14419.0,4684.0,2026-07-30
2026-07-30 18:00:00,14419.0,14450.0,14410.0,14425.0,5423.0,2026-07-30
2026-07-30 18:15:00,14425.0,14432.0,14393.0,14396.0,6128.0,2026-07-30
2026-07-30 18:30:00,14396.0,14415.0,14386.0,14415.0,4585.0,2026-07-30
2026-07-30 18:45:00,14415.0,14432.0,14411.0,14425.0,3163.0,2026-07-30
2026-07-30 19:00:00,14425.0,14449.0,14417.0,14433.0,6343.0,2026-07-30
2026-07-30 19:15:00,14433.0,14465.0,14426.0,14462.0,10758.0,2026-07-30
2026-07-30 19:30:00,14462.0,14473.0,14430.0,14444.0,8381.0,2026-07-30
2026-07-30 19:45:00,14444.0,14447.0,14425.0,14440.0,3018.0,2026-07-30
2026-07-30 20:00:00,14440.0,14460.0,14440.0,14457.0,2880.0,2026-07-30
2026-07-30 20:15:00,14457.0,14460.0,14435.0,14437.0,1777.0,2026-07-30
2026-07-30 20:30:00,14437.0,14440.0,14418.0,14424.0,4347.0,2026-07-30
2026-07-30 20:45:00,14424.0,14443.0,14424.0,14443.0,2845.0,2026-07-30
2026-07-30 21:00:00,14443.0,14458.0,14437.0,14454.0,3643.0,2026-07-30
2026-07-30 21:15:00,14452.0,14459.0,14449.0,14450.0,1890.0,2026-07-30
2026-07-30 21:30:00,14450.0,14467.0,14450.0,14461.0,5148.0,2026-07-30
2026-07-30 21:45:00,14462.0,14470.0,14460.0,14469.0,4884.0,2026-07-30
2026-07-30 22:00:00,14469.0,14469.0,14450.0,14453.0,3783.0,2026-07-30
2026-07-30 22:15:00,14453.0,14475.0,14452.0,14470.0,4527.0,2026-07-30
2026-07-30 22:30:00,14470.0,14471.0,14458.0,14460.0,4124.0,2026-07-30
2026-07-30 22:45:00,14460.0,14472.0,14458.0,14459.0,4657.0,2026-07-30
2026-07-30 23:00:00,14459.0,14473.0,14458.0,14468.0,10590.0,2026-07-30
2026-07-30 23:15:00,14468.0,14488.0,14466.0,14477.0,5523.0,2026-07-30
2026-07-31 09:00:00,14440.0,14440.0,14387.0,14405.0,6822.0,2026-07-31
2026-07-31 09:15:00,14405.0,14405.0,14393.0,14401.0,4115.0,2026-07-31
2026-07-31 09:30:00,14401.0,14408.0,14398.0,14408.0,1535.0,2026-07-31
2026-07-31 09:45:00,14408.0,14426.0,14407.0,14426.0,2005.0,2026-07-31
2026-07-31 10:00:00,14426.0,14436.0,14423.0,14424.0,2403.0,2026-07-31
2026-07-31 10:15:00,14424.0,14428.0,14408.0,14428.0,1777.0,2026-07-31
2026-07-31 10:30:00,14428.0,14440.0,14422.0,14422.0,2514.0,2026-07-31
2026-07-31 10:45:00,14422.0,14431.0,14420.0,14431.0,551.0,2026-07-31
2026-07-31 11:00:00,14431.0,14433.0,14422.0,14424.0,968.0,2026-07-31
2026-07-31 11:15:00,14424.0,14425.0,14410.0,14411.0,1599.0,2026-07-31
2026-07-31 11:30:00,14411.0,14432.0,14410.0,14428.0,1059.0,2026-07-31
2026-07-31 11:45:00,14428.0,14439.0,14427.0,14430.0,1177.0,2026-07-31
2026-07-31 12:00:00,14430.0,14436.0,14418.0,14425.0,934.0,2026-07-31
2026-07-31 12:15:00,14425.0,14431.0,14420.0,14420.0,504.0,2026-07-31
2026-07-31 12:30:00,14420.0,14424.0,14413.0,14416.0,1070.0,2026-07-31
2026-07-31 12:45:00,14416.0,14425.0,14406.0,14406.0,1204.0,2026-07-31
2026-07-31 13:00:00,14406.0,14413.0,14400.0,14410.0,2059.0,2026-07-31
2026-07-31 13:15:00,14410.0,14414.0,14400.0,14400.0,1853.0,2026-07-31
2026-07-31 13:30:00,14400.0,14402.0,14390.0,14394.0,2487.0,2026-07-31
2026-07-31 13:45:00,14394.0,14401.0,14380.0,14382.0,4502.0,2026-07-31
2026-07-31 14:00:00,14382.0,14391.0,14375.0,14386.0,2957.0,2026-07-31
2026-07-31 14:15:00,14386.0,14392.0,14380.0,14384.0,1758.0,2026-07-31
2026-07-31 14:30:00,14384.0,14391.0,14376.0,14382.0,1896.0,2026-07-31
2026-07-31 14:45:00,14382.0,14387.0,14373.0,14374.0,2637.0,2026-07-31
2026-07-31 15:00:00,14374.0,14377.0,14365.0,14377.0,2919.0,2026-07-31
2026-07-31 15:15:00,14376.0,14388.0,14375.0,14382.0,2551.0,2026-07-31
2026-07-31 15:30:00,14382.0,14387.0,14380.0,14384.0,2378.0,2026-07-31
2026-07-31 15:45:00,14384.0,14387.0,14370.0,14375.0,1880.0,2026-07-31
2026-07-31 16:00:00,14375.0,14389.0,14375.0,14381.0,1080.0,2026-07-31
2026-07-31 16:15:00,14381.0,14390.0,14375.0,14377.0,1617.0,2026-07-31
2026-07-31 16:30:00,14377.0,14392.0,14370.0,14385.0,1667.0,2026-07-31
2026-07-31 16:45:00,14385.0,14389.0,14375.0,14381.0,819.0,2026-07-31
2026-07-31 17:00:00,14381.0,14385.0,14367.0,14368.0,1878.0,2026-07-31
2026-07-31 17:15:00,14368.0,14381.0,14368.0,14375.0,1066.0,2026-07-31
2026-07-31 17:30:00,14375.0,14390.0,14374.0,14389.0,2674.0,2026-07-31
2026-07-31 17:45:00,14389.0,14393.0,14374.0,14374.0,3026.0,2026-07-31
2026-07-31 18:00:00,14373.0,14376.0,14360.0,14365.0,4262.0,2026-07-31
2026-07-31 18:15:00,14365.0,14374.0,14360.0,14365.0,2394.0,2026-07-31
2026-07-31 18:30:00,14365.0,14365.0,14345.0,14348.0,4400.0,2026-07-31
2026-07-31 18:45:00,14347.0,14375.0,14342.0,14366.0,5611.0,2026-07-31
